"position","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
0.176341,69,-3522,108,38.5,81.5,57,79,75,63,67.5,53.5
0.177757,69,-3155.5,110,38.75,81.25,56.5,78.5,75.5,63,67.25,53.75
0.179173,69,-2789,112,39,81,56,78,76,63,67,54
0.18058,69,-2485.75,116.5,40.25,81.75,56.5,78.25,76.25,62.5,67,54.25
0.181986,69,-2182.5,121,41.5,82.5,57,78.5,76.5,62,67,54.5
0.183393,69,-1879.25,125.5,42.75,83.25,57.5,78.75,76.75,61.5,67,54.75
0.1848,69,-1576,130,44,84,58,79,77,61,67,55
0.186216,69.25,-1397.75,135.5,44.5,84.25,57.75,79.25,76.25,61.5,67,54.25
0.187632,69.5,-1219.5,141,45,84.5,57.5,79.5,75.5,62,67,53.5
0.189047,69.75,-1041.25,146.5,45.5,84.75,57.25,79.75,74.75,62.5,67,52.75
0.190463,70,-863,152,46,85,57,80,74,63,67,52
0.191852,70,-768,158.75,45,85.25,57.5,79.75,74,63,67,52.25
0.19324,70,-673,165.5,44,85.5,58,79.5,74,63,67,52.5
0.194629,70,-578,172.25,43,85.75,58.5,79.25,74,63,67,52.75
0.196018,70,-483,179,42,86,59,79,74,63,67,53
0.197425,70.5,-430,190.25,42.5,85.5,59.25,79,74.5,62.5,67,53.5
0.198831,71,-377,201.5,43,85,59.5,79,75,62,67,54
0.200238,71.5,-324,212.75,43.5,84.5,59.75,79,75.5,61.5,67,54.5
0.201644,72,-271,224,44,84,60,79,76,61,67,55
0.203068,71.5,-241.5,240.25,43.75,84.25,59.5,78.75,75.25,61.25,67,54
0.204493,71,-212,256.5,43.5,84.5,59,78.5,74.5,61.5,67,53
0.205918,70.5,-182.5,272.75,43.25,84.75,58.5,78.25,73.75,61.75,67,52
0.207343,70,-153,289,43,85,58,78,73,62,67,51
0.208777,70.5,-136,317.5,42.75,84.5,58,78.25,73.75,62.25,66.75,51
0.21021,71,-119,346,42.5,84,58,78.5,74.5,62.5,66.5,51
0.211644,71.5,-102,374.5,42.25,83.5,58,78.75,75.25,62.75,66.25,51
0.213078,72,-85,403,42,83,58,79,76,63,66,51
0.214502,72.25,-74.5,451.5,42.5,82.75,58,78.75,75.75,63.25,66,51.5
0.215927,72.5,-64,500,43,82.5,58,78.5,75.5,63.5,66,52
0.217352,72.75,-53.5,548.5,43.5,82.25,58,78.25,75.25,63.75,66,52.5
0.218777,73,-43,597,44,82,58,78,75,64,66,53
0.220211,73,-36.25,680.75,44.5,82.5,57.75,78.25,75,63.75,65.75,53.25
0.221644,73,-29.5,764.5,45,83,57.5,78.5,75,63.5,65.5,53.5
0.223078,73,-22.75,848.25,45.5,83.5,57.25,78.75,75,63.25,65.25,53.75
0.224512,73,-16,932,46,84,57,79,75,63,65,54
